,id,name,host_id,host_name,neighbourhood,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,latitude_41.7,latitude_41.8,latitude_41.9,latitude_42.0,longitude_-87.8,longitude_-87.7,longitude_-87.6,longitude_-87.5,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,community_Central,community_Far North Side,community_Far Southeast Side,community_Far Southwest Side,community_North Side,community_Northwest Side,community_South Side,community_Southwest Side,community_West Side,price_range_100 - 149,price_range_150 - 199,price_range_200 - 249,price_range_250 +,price_range_50 - 99,price_range_< 50
0,2384,"Hyde Park - Walk to UChicago, 10 min to McCormick",2613,Rebecca,Hyde Park,60,2,178,2019-12-15,2.56,1,353,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,4505,394 Great Reviews. 127 y/o House. 40 yds to train.,5775,Craig & Kathleen,South Lawndale,105,2,395,2020-07-14,2.81,1,155,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2,7126,Tiny Studio Apartment 94 Walk Score,17928,Sarah,West Town,60,2,384,2020-03-08,2.81,1,321,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
3,9811,Barbara's Hideaway - Old Town,33004,At Home Inn,Lincoln Park,65,4,49,2019-10-23,0.63,9,300,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
4,10610,3 Comforts of Cooperative Living,2140,Lois,Hyde Park,21,1,44,2020-02-14,0.61,5,168,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
5,10945,The Biddle House (#1),33004,At Home Inn,Lincoln Park,115,4,19,2020-08-06,0.24,9,325,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
6,12068,Chicago GOLD COAST 1 Bedroom Condo,40731,Dominic,Near North Side,99,5,9,2019-01-14,0.13,1,316,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,12140,Lincoln Park Guest House,46734,Sharon And Robert,Lincoln Park,289,2,4,2018-10-17,0.06,1,179,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
8,22362,*** Luxury in Chicago! 2BR/ 2Ba / Parking / BBQ **,85811,Craig,West Town,99,91,9,2014-10-12,0.11,2,365,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
9,24833,Private Apt 1 Block to Fullerton L Red Line - Deck,101521,Red,Lincoln Park,112,32,37,2018-07-29,0.29,4,180,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
10,25879,Top 2/1  Block to Fullerton L Red Line Deck & Yard,101521,Red,Lincoln Park,75,32,47,2020-05-11,0.38,4,62,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
11,28749,"Sanitized, Huge, Quirky Bucktown Loft + Parking",27506,Laurie,Logan Square,94,2,60,2020-09-07,0.5,1,332,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
12,37738,Andersonville - Perfect location!,162364,Mat And Randy,Uptown,77,3,250,2020-03-15,2.02,2,223,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
14,44020,2 Bed MCM 1 Block to Fullerton Red line L & Garage,101521,Red,Lincoln Park,95,32,52,2019-09-01,0.47,4,206,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
15,71930,"Rest, Relax and Explore",334241,Michael And Veronica,West Town,65,3,70,2020-07-09,0.62,2,178,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
16,79101,5★Cubs/Riviera/AragonTRAIN2Bdrms/Ba,272671,Two For The Road,Uptown,157,2,151,2020-07-05,1.3,5,363,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
17,84042,The Explorer Room,334241,Michael And Veronica,West Town,50,3,78,2020-08-20,0.68,2,314,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
18,110705,Fab Value!/ Spa /Deck/ARAGON/RIVIERA/TRAIN/CUBS/,272671,Two For The Road,Uptown,99,2,149,2020-07-19,1.31,5,363,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
19,126280,"Near Lake, Wrigley and Weiss Hospital",626517,Gail,Uptown,35,3,162,2020-03-08,1.44,1,138,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
