,Unnamed: 0,age,fnlwght,education-num,marital-status,relationship,hours-per-week,predictions1,predictions2,workclass_ Government,workclass_ Other,workclass_ Private,workclass_ Self-emp-inc,workclass_ Self-emp-not-inc,education_ Assoc,education_ Bachelors,education_ Gradeschool,education_ HS-grad,education_ Post Bachelors,education_ Some-college,occupation_ Blue Collar,occupation_ Other,occupation_ White Collar,capital_gain_0 - 5000,capital_gain_10001 - 15000,capital_gain_15000 - 20000,capital_gain_20001 - 25000,capital_gain_5001 - 10000,capital_gain_Over 25000,capital_loss_0 - 1000,capital_loss_1001 - 2000,capital_loss_2001 - 3000,capital_loss_Over 3000,sex_ Female,sex_ Male,race_ Amer-Indian-Eskimo,race_ Asian-Pac-Islander,race_ Black,race_ Other,race_ White,income_ <=50K,income_ >50K
0,0,39,77516,13, Never-married, Not-in-family,40,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
1,1,50,83311,13, Married-civ-spouse, Husband,13,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
2,2,38,215646,9, Divorced, Not-in-family,40,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
3,3,53,234721,7, Married-civ-spouse, Husband,40,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
4,4,28,338409,13, Married-civ-spouse, Wife,40,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
5,5,37,284582,14, Married-civ-spouse, Wife,40,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
6,6,49,160187,5, Married-spouse-absent, Not-in-family,16,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
7,7,52,209642,9, Married-civ-spouse, Husband,45,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
8,8,31,45781,14, Never-married, Not-in-family,50,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
9,9,42,159449,13, Married-civ-spouse, Husband,40,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1
10,10,37,280464,10, Married-civ-spouse, Husband,80,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
11,11,30,141297,13, Married-civ-spouse, Husband,40,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
12,12,23,122272,13, Never-married, Own-child,30,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
13,13,32,205019,12, Never-married, Not-in-family,50,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
14,14,40,121772,11, Married-civ-spouse, Husband,40,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
15,15,34,245487,4, Married-civ-spouse, Husband,45,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
16,16,25,176756,9, Never-married, Own-child,35,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
17,17,32,186824,9, Never-married, Unmarried,40,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
18,18,38,28887,7, Married-civ-spouse, Husband,50,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
19,19,43,292175,14, Divorced, Unmarried,45,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
20,20,40,193524,16, Married-civ-spouse, Husband,60,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
21,21,54,302146,9, Separated, Unmarried,20,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
22,22,35,76845,5, Married-civ-spouse, Husband,40,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
23,23,43,117037,7, Married-civ-spouse, Husband,40,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
24,24,59,109015,9, Divorced, Unmarried,40,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
25,25,56,216851,13, Married-civ-spouse, Husband,40,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
26,26,19,168294,9, Never-married, Own-child,40,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
27,27,54,180211,10, Married-civ-spouse, Husband,60,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
28,28,39,367260,9, Divorced, Not-in-family,80,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
29,29,49,193366,9, Married-civ-spouse, Husband,40,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
30,30,23,190709,12, Never-married, Not-in-family,52,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
31,31,20,266015,10, Never-married, Own-child,44,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
32,32,45,386940,13, Divorced, Own-child,40,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
33,33,30,59951,10, Married-civ-spouse, Own-child,40,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
34,34,22,311512,10, Married-civ-spouse, Husband,15,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
35,35,48,242406,7, Never-married, Unmarried,40,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
36,36,21,197200,10, Never-married, Own-child,40,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
37,37,19,544091,9, Married-AF-spouse, Wife,25,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
38,38,31,84154,10, Married-civ-spouse, Husband,38,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
39,39,48,265477,12, Married-civ-spouse, Husband,40,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
40,40,31,507875,5, Married-civ-spouse, Husband,43,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
41,41,53,88506,13, Married-civ-spouse, Husband,40,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
42,42,24,172987,13, Married-civ-spouse, Husband,50,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
43,43,49,94638,9, Separated, Unmarried,40,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
